Run #	Config	Date/Time	RunType	Beam Mode	Beam Current	Beam Energy	Target	Log entries (HALOG, HAPLOG)	Run analyzed?	Comment	Raster X/Y	Helicity	IHWP setting	SAM 1 HV	SAM 2 HV	SAM 3 HV	SAM 4 HV	SAM 5 HV	SAM 6 HV	SAM 7 HV	SAM 8 HV
1409	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 120.5 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1410	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 121 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1411	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 121.5 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1412	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			same		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1413	ALL_PREX	3/4/2019	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 121.2 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1414	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 120.7 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1415	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 120.85 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1416	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			same		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1417	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			same		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1418	ALL_PREX	3/4/2019	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			Aq feedback on, 120.775 phase advance/linac cell		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1419	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			same		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1420	ALL_PREX		Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			same		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1421	ALL_PREX	3/4/2019	Beam On	cw	30	2.2 GeV	Tungsten (2.8%)			This run never happened?? - Cameron		240Hz,octet	out	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1421	ALL_PREX	3/4/2019	Beam On	cw	30	2.2GeV	Tungsten (2.8%)			CODA Failed 		30 Hz, Quartet 		OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1422	ALL_PREX	3/4/2019	Beam On	cw	30	2.2GeV	Tungsten (2.8%)		yes	Cameron Removed Cav BCM B Current from Happex ADC, updates CH_beamline.map, updated g0inj.flags, happex ADCs still need work		30 Hz, Quartet		OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1423	ALL_PREX	3/5	Beam On	cw	30	2.2GeV	Tungsten (2.8%)		yes	lumis on		30 Hz, Quartet		OFF	73	560	260	490	75	510	240
1424	ALL_PREX	3/5	Beam Off	off						extended beam off run, lumis on		30 Hz, Quartet		OFF	73	560	260	490	75	510	240
1425	ALL_PREX	3/5	Beam Off	off								30 Hz, Quartet		OFF	73	560	260	490	75	510	240
1426-1430	ALL_PREX	3/5	Beam Off	off				https://logbooks.jlab.org/entry/3663525		BMOD client tests without beam		30 Hz, Quartet		OFF	73	560	260	490	75	510	240
1431-1436	ALL_PREX	3/5	Beam Off	off						Test runs for ET start-bridge		30 Hz, Quartet		OFF	73	560	260	490	75	510	240
1437	ALL_PREX	3/5	Beam Off	off				https://logbooks.jlab.org/entry/3663543		Fixed ET start-bridge 20 second sleep problem		30 Hz, Quartet		OFF	73	560	260	490	75	510	240
1438	ALL_PREX	3/6	Beam Off	off					yes	Swapped board 29 for 6, 1 for 29, surveyed 1 (bad channel 02 now replaced) - referrence for Cavity BCMs pre-3/6/2019 firmware upgrade		30 Hz, Quartet		OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1439	ALL_PREX	3/6	Beam Off	off					yes	Turned on SAM HVs - works		30 Hz, Quartet		OFF	73	560	260	490	75	500	260
1440	ALL_PREX	3/7	Test  	off						No beam 											
1441	ALL_PREX	3/8	Test  	cw	20 uA	2.2 GeV	Optics 1			SAM 1 on for a bit then turned off	2 mm x 2mm	30 Hz, Quartet		OFF	73	560	260	490	75	500	260
1442	ALL_PREX	3/8	Beam On	cw	20 uA	2.2 Gev	Optics 1				2 mm x 2mm 	30 Hz, Quartet		OFF	73	560	260	490	75	500	260
1444	ALL_PREX	3/11	Beam On	cw	40uA	2.138 GeV	Tungsten (2.8%)			After John change the cavity BW to 100 kHz	1.5mmx5mm	30 Hz, Quartet		OFF							
1445	ALL_PREX	3/11	Beam  On 	cw	40uA 	2.138 GeV	Tungsten (2.8%)														
1456	ALL_PREX	3/11	junk, beam off																		
1447	ALL_PREX	3/11	Beam On 	cw	40uA	2.138 GeV	Tungsten (2.8%)					30 Hz, Quartet		ON	73	100	100	100	75	100	100
1448	ALL_PREX	3/12	SAM calibration	cw	41uA	2.138 GeV	Tungsten (2.8%)			Variying SAM HVs, Every HV setting was left for 6-7min	1.5mmX5mm	30Hz,Quartet		100	73	100	100	100	75	100	100
														100	73	150	120	150	75	150	120
														100	73	200	140	200	75	200	140
														100	73	250	160	250	75	250	160
														100	73	300	180	300	75	300	180
														100	73	350	200	350	75	350	200
														100	73	400	220	400	75	400	220
														100	73	450	240	450	75	450	240
														100	73	500	260	500	75	500	260
1449	ALL_PREX	3/12	SAM calibration	cw	41uA	2.138 GeV	Tungsten (2.8%)			Variying SAM HVs, Every HV setting was left for 6-7min	1.5mmX5mm	60Hz,Quartet		100	73	100	100	100	75	100	100
														150	73	150	120	150	75	150	120
														200	73	200	140	200	75	200	140
														250	73	250	160	250	75	250	160
														300	73	300	180	300	75	300	180
														350	73	350	200	350	75	350	200
														400	73	400	220	400	75	400	220
														450	73	450	240	450	75	450	240
														500	73	500	260	500	75	500	260
1450	ALL_PREX	3/12	SAM calibration	cw	41uA	2.138 GeV	Tungsten (2.8%)			Variying SAM HVs, Every HV setting was left for 6-7min	1.5mmX5mm	60Hz,Quartet		OFF	73	450	210	400	75	420	210
														OFF	73	475	220	420	75	440	220
														OFF	73	500	230	440	75	460	230
														OFF	73	525	240	460	75	480	240
														OFF	73	550	250	480	75	500	250
1451	ALL_PREX	3/12	SAM calibration	cw	41uA	2.138 GeV	Tungsten (2.8%)			Variying SAM HVs, Every HV setting was left for 6-7min	1.5mmX5mm	30Hz,Quartet		OFF	73	450	210	400	75	420	210
														OFF	73	475	220	420	75	440	220
														OFF	73	500	230	440	75	460	230
														OFF	73	525	240	460	75	480	240
1452	ALL_PREX	3/12	SAM calibration	cw	41uA	2.138 GeV	Tungsten (2.8%)			Variying SAM HVs, Every HV setting was left for 6-7min	1.5mmX5mm	30Hz,Quartet		OFF	73	450	210	400	75	420	210
														OFF	73	475	220	420	75	440	220
														OFF	73	500	230	440	75	460	230
														OFF	73	525	240	460	75	480	240
														OFF	73	550	250	480	75	500	250
																					
1453-1455	ALL_PREX	3/15	Beam on	cw	40uA	2.138 GeV	Tungsten (2.8%)			test for online monitoring											
1456	ALL_PREX	3/15	Beam on	cw	50uA	2.138 GeV	Tungsten (2.8%)			test for online monitoring											
1457	ALL_PREX	3/16	Beam On	cw	50uA	2.138 GeV	Tungsten (2.8%)				1.5mm/5mm	30Hz,Quartet		OFF	73	550	255	150	75	490	250
1458	ALL_PREX	3/16	Beam On	cw	50uA	2.138 GeV	Tungsten (2.8%)				1.5mm/5mm	30Hz,Quartet		OFF	73	535	250	150	75	490	250
1459	ALL_PREX	3/16	Beam On	cw	50uA	2.138 GeV	Tungsten (2.8%)				1.5mm/5mm	30Hz,Quartet		OFF	73	535	250	200	75	480	250
1460	ALL_PREX	3/16	Beam On	cw	50uA	2.138 GeV	Tungsten (2.8%)				1.5mm/5mm	30Hz,Quartet		OFF	73	535	250	250	75	480	250
1461	ALL_PREX		Beam On	cw	0.12uA	2.138 GeV	Bogdan Wire		yes	test for low current cavity BPMs BW=100kHz G1=G2=63	off	30Hz,Quartet		OFF							
1462	ALL_PREX		Beam On	cw	0.12uA	2.138 GeV	Bogdan Wire		yes	test for low current cavity BPMs BW=1Hz, G1=G2=63	off	..		OFF							
1463	ALL_PREX		Beam On	cw	0.12uA	2.138 GeV	Bogdan Wire		yes	horizatal scan test for low current cavity BPMs BW=1Hz, G1=G2=63	off	..		OFF							
1464	ALL_PREX									5 uA tuning beam test for beam modulatoin 	on 	30Hz,Quartet 		OFF							
