Run #	Config	Date/Time	RunType	Beam Mode	Beam Current	Beam Energy	Target	Log entries (HALOG, HAPLOG)	Run analyzed?	Comment	Raster X/Y	Helicity	IHWP setting	SAM 1 HV	SAM 2 HV	SAM 3 HV	SAM 4 HV	SAM 5 HV	SAM 6 HV	SAM 7 HV	SAM 8 HV
1270	ALL_PREX	2/16	calibration	CW	5 uA	2.2 GeV	Home	HALOG: 3654620, 3654622	Y	A(1.531 , 3.873), B(1.625,3.782)	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1271	ALL_PREX	2/16	calibration	CW	5 uA	2.2 GeV	Home	HALOG: 3654626, 3654627	Y	A(-1.892,3.832), B(-1.448, 3.601)	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1272	ALL_PREX	2/16	calibration	CW	5 uA	2.2 GeV	Home	HALOG: 3654635, 3654637	Y	A(-1.802, 1.363), B(-1.414,1.117)	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1273	ALL_PREX	2/16	junk	CW	5 uA	2.2 GeV	Home		Y	RF is having trouble 	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1274	ALL_PREX	2/16	calibration	CW	5 uA	2.2 GeV	Home	HALOG: 3654648, 3654650	Y	A(1.624,1.277) , B(1.533, 1.286)	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1275	ALL_PREX	2/16	calibration	CW	5 uA	2.2 GeV	Home	HALOG: 3654657,3654658	Y	A(-0.1376,2.495), B(0.6588,2.387)	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1276	ALL_PREX	2/16	beam on	CW	5 uA	2.2 GeV	Home		Y		OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1277	ALL_PREX	2/16	pedestal				Master		Y	Force Gain Zero	OFF			OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1278	ALL_PREX	2/20	junk	no beam			None														
1279	ALL_PREX	2/20	beam on	CW	30 uA	2.2 GeV	Home				2mm / 2mm	30 Hz, Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1280	ALL_PREX	2/20	Calibration	CW	30, 25 , 20 uA	2.2 GeV	Home	HALOG:3656464	Y	BCM Calibration, BPM Forced Gain ~2000	2mm / 2mm	30 Hz, Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1281	ALL_PREX	2/20	pedestal																		
1282	ALL_PREX	2/20	testing DAQ				Home		Y	Training Run with AJZ, Amali, Tao	OFF	30 Hz, Quartet	In								
1283	ALL_PREX	2/20	junk	Tune Mode	5 uA	2.2 GeV	Home			Training Run with AJZ, CG - Happex ADC _1_3 has cav4BCMB Charge plugged in as well	OFF	30 Hz, Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1284	ALL_PREX	2/20	junk	Tune Mode	5 uA	2.2 GeV	Home			Cavity BCM B charge replaced with rand DAC12 voltage (Sync test broken) - Happex ADC _1_3 has random DAC 12 plugged in as well (also the QWeak ADC with cav4B charge has random DAC 12 plugged in) - See with evt->Draw("adc18_cav4bq:cav4bq")	OFF	30 Hz, Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1285	ALL_PREX	2/20	junk	Tune Mode	5 uA	2.2 GeV	Home			3, 5 has cavity B charged plugged in - Happex ADC _1_3 has cav4BCMB Charge plugged in as well	OFF	30 Hz, Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1286	ALL_PREX	2/22	SAM Calibration	Beam On	36uA	2.2GeV	Tungsten(2.8%)				1.5mm/5mm	30 Hz, Quartet		OFF	75	650	250	550	75	450	250
1287	ALL_PREX	2/22	SAM Calibration	Beam On	36uA	2.2 GeV	Tungsten(2.8%)				1.5mm/5mm	30 Hz, Quartet		OFF	85	600	280	500	85	500	230
1329	ALL_PREX	2/25	current calibration 	Beam on	35,40,45	2.2GeV				SAM HV changed				OFF	100	610	285	510	100	550	235
										SAM HV changed				OFF	100	625	295	550	100	555	235
										SAM HV changed				OFF	100	625	290	535	100	560	235
										SAM HV changed				OFF	75	625	290	510	75	560	235
1288	ALL_PREX	2/22	SAM Calibration	Beam On	36uA	2.2 GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	620	285	490	75	555	237
		2/22	SAM calibration 	Beam On	36 uA	2.2GeV	Tungsten(2.8%)			SAM HV changed				OFF	75	623	287	495	75	560	237
1289	ALL_PREX	2/22	SAM calibration	Beam On	36uA	2.2GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	623	287	495	75	560	237
1291	ALL_PREX	2/22	SAM calibration	Beam On	40uA	2.2GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	623	287	495	75	560	237
1292	ALL_PREX	2/22	SAM calibration	Beam On	40uA	2.2GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	620	285	495	75	545	235
1294	ALL_PREX	2/22	SAM calibration	Beam On	40uA	2.2GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	617	283	496	75	542	233
1295	ALL_PREX	2/22	SAM calibration	Beam On	40uA	2.2GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	617	283	497	75	538	233
1296	ALL_PREX	2/22	SAM calibration	Beam On	40uA	2.2GeV	Tungsten(2.8%)	https://ace.phys.virginia.edu:80/HAPPEX/3624  https://ace.phys.virginia.edu:80/HAPPEX/3640	Y		1.5mm/5mm	30 Hz, Quartet		OFF	75	617	283	497	75	535	233
1297	ALL_PREX	2/22	Beam On	CW	40uA	2.2GeV	Tungsten_2.8%RL		Y	SAM HV off	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1301	ALL_PREX	2/22	Beam On	CW	40uA	2.2 GeV	Tungsten_2.8%RL		Y	SAM HV off	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1302	ALL_PREX	2/23	Beam On	CW	40uA	2.2 GeV	Tungsten(2.8%)		Y	SAM HV off	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1303	ALL_PREX	2/23	junk							rcgui: waiting for eb1 - would not start											
1304	ALL_PREX	2/23	junk							rcgui: waiting for eb1 - would not start, restarted it											
1305	ALL_PREX	2/23	Beam On	CW	40uA	2.2 GeV	Tungsten(2.8%)		Y	SAM HV off	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1306	ALL_PREX	2/23	Beam On	CW	40uA	2.2 GeV	Tungsten(2.8%)		Y	SAM HV off- stopped the run to turn on the SAMs	1.5mm/5mm	30 Hz,Quartet	In	OFF	OFF	OFF	OFF	OFF	OFF	OFF	OFF
1307	ALL_PREX	2/23	Beam On	CW	40uA	2.2 GeV	Tungsten(2.8%)		Y		1.5mm/5mm	30 Hz,Quartet	In	551	77	618	284	498	75	536	233
1308	ALL_PREX	2/23	Beam On	CW	<0.5uA	2.2 GeV	Tungsten(2.8%)				1.5mm/5mm	30 Hz,Quartet	In	551	77	618	284	498	75	536	233
